T	T_Z	T_Z	T_U	T_M	PWM
01:16:05	81.66803	81.95032	25.55315	83.61206	0.02
01:16:05	81.66803	81.95032	25.57451	83.60596	0.02
01:16:06	81.66876	81.95032	25.60198	83.56934	0.02
01:16:06	81.66876	81.95032	25.58367	83.57544	0.02
01:16:07	81.66876	81.93839	25.54704	83.56934	0.02
01:16:07	81.66876	81.93839	25.59893	83.56934	0.02
01:16:08	81.66876	81.93839	25.58672	83.57544	0.02
01:16:08	81.66876	81.94882	25.56841	83.54492	0.02
01:16:09	81.66876	81.94882	25.62334	83.55103	0.02
01:16:09	81.66061	81.94882	25.57146	83.55103	0.02
01:16:10	81.66061	81.94882	25.53484	83.54492	0.02
01:16:10	81.66061	81.95633	25.57451	83.52661	0.02
01:16:11	81.66061	81.95633	25.58367	83.53271	0.02
